# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb12 (Creation date: 2025-05-14, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
5293449at2	Missing
9759736at2	Missing
9767721at2	Missing
9771806at2	Missing
9776390at2	Missing
9776733at2	Missing
9778364at2	Missing
9778722at2	Missing
9781053at2	Missing
9782003at2	Missing
9788336at2	Missing
9790352at2	Missing
9791908at2	Missing
9793681at2	Missing
9797833at2	Missing
9799262at2	Missing
9800507at2	Missing
9800696at2	Missing
9800719at2	Missing
9801107at2	Fragmented	contig_26_pilon	190197	189670	-	76.9	56
9801213at2	Fragmented	contig_116_pilon	426101	426676	+	246.5	165
9801330at2	Missing
9801549at2	Missing
9801753at2	Missing
9802065at2	Fragmented	contig_31_pilon	671602	672606	+	147.3	164
9802219at2	Missing
9802304at2	Missing
9802309at2	Missing
9802366at2	Missing
9802408at2	Missing
9802554at2	Missing
9802589at2	Complete	contig_28_pilon	93727	94173	+	118.2	107
9802617at2	Missing
9802672at2	Missing
9803017at2	Missing
9803201at2	Missing
9803250at2	Missing
9803420at2	Missing
9803474at2	Missing
9803541at2	Missing
9803610at2	Complete	contig_28_pilon	97756	98283	+	100.4	96
9803667at2	Missing
9803672at2	Missing
9803740at2	Missing
9803773at2	Missing
9803884at2	Missing
9803954at2	Missing
9803965at2	Missing
9804006at2	Missing
9804072at2	Missing
9804243at2	Missing
9804305at2	Fragmented	contig_19_pilon	1326380	1327831	+	70.5	97
9804464at2	Missing
9804478at2	Missing
9804647at2	Missing
9804716at2	Missing
9804753at2	Missing
9804933at2	Missing
9805007at2	Missing
9805026at2	Missing
9805455at2	Missing
9805462at2	Missing
9805609at2	Missing
9805706at2	Missing
9805969at2	Missing
9806014at2	Missing
9806135at2	Missing
9806197at2	Missing
9806379at2	Missing
9806396at2	Fragmented	contig_28_pilon	93305	93745	+	95.6	105
9806415at2	Missing
9806626at2	Missing
9806637at2	Missing
9806651at2	Missing
9806661at2	Missing
9806954at2	Missing
9807019at2	Missing
9807064at2	Missing
9807233at2	Missing
9807240at2	Missing
9807416at2	Missing
9807419at2	Missing
9807458at2	Missing
9807553at2	Missing
9807653at2	Missing
9807878at2	Missing
9808036at2	Complete	contig_121_pilon	41827	41210	-	202.3	181
9808150at2	Missing
9808348at2	Complete	contig_19_pilon	1327844	1329949	+	153.6	141
9808773at2	Missing
9808936at2	Missing
9808966at2	Missing
9809045at2	Missing
9809052at2	Missing
9809073at2	Missing
9809075at2	Missing
9809084at2	Missing
9809248at2	Missing
9809356at2	Missing
9809796at2	Missing
9810191at2	Missing
9810293at2	Missing
9810939at2	Missing
9811714at2	Missing
9811748at2	Missing
9811804at2	Missing
9812008at2	Missing
9812272at2	Missing
9812273at2	Missing
9812702at2	Missing
9812769at2	Missing
9812943at2	Missing
9813334at2	Missing
9813375at2	Missing
9814755at2	Missing
9815296at2	Fragmented	contig_121_pilon	47631	46285	-	450.6	304
